...1,family,genus,species,binomial,1-1_ActivityCycle,abm_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,andamanensis,Crocidura andamanensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,ansellorum,Crocidura ansellorum,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,arabica,Crocidura arabica,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,arispa,Crocidura arispa,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,armenica,Crocidura armenica,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,attenuata,Crocidura attenuata,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,attila,Crocidura attila,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,baileyi,Crocidura baileyi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,baluensis,Crocidura baluensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,batesi,Crocidura batesi,-999,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,beatus,Crocidura beatus,-999,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,beccarii,Crocidura beccarii,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,bottegi,Crocidura bottegi,-999,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,bottegoides,Crocidura bottegoides,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,brunnea,Crocidura brunnea,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,buettikoferi,Crocidura buettikoferi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,caliginea,Crocidura caliginea,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,canariensis,Crocidura canariensis,-999,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,caspica,Crocidura caspica,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,cinderella,Crocidura cinderella,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,congobelgica,Crocidura congobelgica,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,crenata,Crocidura crenata,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,crossei,Crocidura crossei,-999,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,cyanea,Crocidura cyanea,2,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,denti,Crocidura denti,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,desperata,Crocidura desperata,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
